path	author	header	created	sphere	topic	style	audience_age	audience_level	audience_size	source	publication	publ_year	medium	country	region	language
plain/2017/3/16/День открытых дверей в УК Подмосковья уже скоро.txt	ОД	День открытых дверей в УК Подмосковья уже скоро	16.03.2017	публицистика	Новости бизнеса	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/partner/3466-den-otkrytykh-dverej-v-uk-podmoskovya-uzhe-skoro	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/16/Памятка о новом порядке применения ККТ от налоговиков.txt	ОД	Памятка о новом порядке применения ККТ от налоговиков	16.03.2017	публицистика	Законы	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/zakony/3465-pamyatka-o-novom-poryadke-primeneniya-kkt-ot-nalogovikov	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/15/Знает ли Голодец о бедности то, что известно Путину.txt	Наталия Теряева	Знает ли Голодец о бедности то, что известно Путину?	15.03.2017	публицистика	Общество	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/obshchestvo/3463-znaet-li-golodets-to-chto-izvestno-putinu	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/14/Умер известный тренер по плаванию.txt	ОД	Умер известный тренер по плаванию	14.03.2017	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/8-glavnoe/3462-umer-izvestnyj-trener-po-plavaniyu	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/14/В Дубне юный пешеход идет по правилам.txt	Кирилл Свояков	В Дубне юный пешеход идет по правилам	14.03.2017	публицистика	Общество	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/obshchestvo/3461-v-dubne-peshekhod-idet-po-pravilam	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/14/Правила дорожного движения в Дубне учат на ходу.txt	Никита Крутиков	Правила дорожного движения в Дубне учат на ходу	14.03.2017	публицистика	Общество	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/obshchestvo/3460-pravila-dorozhnogo-dvizheniya-v-dubne-uchat-na-khodu	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/14/Мусор на площади Мира в Дубне поделили.txt	Кирилл Свояков	Мусор на площади Мира в Дубне поделили	14.03.2017	публицистика	ЖКХ	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/zhkkh/3459-musor-na-ploshchadi-mira-v-dubne-podelili	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/14/Предупредите бытовое преступление.txt	Мария Ватолина	Предупредите бытовое преступление	14.03.2017	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/8-glavnoe/3458-predupredite-bytovoe-prestuplenie	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/14/Слёт Юный друг полиции пройдет в Дубне.txt	ОД	"Слёт ""Юный друг полиции"" пройдет в Дубне"	14.03.2017	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/8-glavnoe/3457-sljot-yunyj-drug-politsii-projdet-v-dubne	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/13/«RockestraLive» – ваш путеводитель в мир рок-музыки.txt	ОД	«RockestraLive» – ваш путеводитель в мир рок-музыки	13.03.2017	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/muzyka/3380-rockestralive-vash-putevoditel-v-mir-rok-muzyki	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/13/Школьники Дубны познают мир всесторонне.txt	Наталия Теряева	Школьники Дубны познают мир всесторонне	13.03.2017	публицистика	Образование	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/obrazovanie/3456-shkolniki-dubny-poznayut-mir-vsestoronne	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/12/ЕР аккумулирует всех кандидатов на одном сайте.txt	ОД	ЕР аккумулирует всех кандидатов на одном сайте	12.03.2017	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/politika/3455-er-akkumuliruet-vsekh-kandidatov-na-odnom-sajte	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/12/Госадмтехнадзор начинает операцию «Паводок».txt	Никита Крутиков	Госадмтехнадзор начинает операцию «Паводок»	12.03.2017	публицистика	ЖКХ	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/zhkkh/3454-gosadmtekhnadzor-nachinaet-operatsiyu-pavodok	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/12/Строительная компания во Фрязино оштрафована за нарушение тишины.txt	Кирилл Свояков	Строительная компания во Фрязино оштрафована за нарушение тишины	12.03.2017	публицистика	Общество	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/obshchestvo/3453-stroitelnaya-kompaniya-vo-fryazino-oshtrafovana-za-narushenie-tishiny	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/11/Правительство Подмосковья возьмет займ у населения.txt	Никита Крутиков	Правительство Подмосковья возьмет займ у населения	11.03.2017	публицистика	Новости бизнеса	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/partner/3452-pravitelstvo-podmoskovya-vozmet-zajm-u-naseleniya	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
plain/2017/3/11/В Подмосковье составят реестр больных спидом.txt	Кирилл Свояков	В Подмосковье составят реестр больных спидом	11.03.2017	публицистика	Здоровье	нейтральный	н-возраст	н-уровень	городская	http://open-dubna.ru/zdorove/3451-v-podmoskove-sostavyat-reestr-bolnykh-spidom	Открытая Дубна	2017	газета	Россия	город Дубна, Московская область	ru
